l***7,2017-07-10 18:07:37,【超柔版】男浅灰,XXXXL,服务好，发货及时。东西很好，正品，好评
k***a,2017-07-10 16:31:48,【超柔版】男深灰,XL,试了一下，挺合身，不知道遇水会不会缩小。
t***2,2017-07-10 09:45:24,【超柔版】男深灰,XXXL,内衣很好，就是有点紧了
数***2,2017-07-10 08:27:45,【超柔版】男浅灰,XXXXL,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
j***9,2017-07-09 18:39:38,[黄金甲]女魅力黑,XXL,纯棉的加厚修身
云***票,2017-07-09 17:05:50,【超柔版】男酒红,XXXL,衣服还是有点略薄，但是爸爸说很舒服，好评！
t***4,2017-07-09 13:09:22,【超柔版】男藏青,XXXL,好的！！！手感不错！！！服务挺好！！！！
淡***1,2017-07-09 11:56:24,【超柔版】女紫色,XL,质量很不错
长***身,2017-07-09 10:30:15,【超柔版】女黑色,XL,很不错，就是感觉大了。
空***璨,2017-07-08 21:34:28,【超柔版】男紫色,XXXL,买大了，有点胖，物有所值
秋***密,2017-07-08 21:02:45,[黄金甲]女紫罗兰,XXL,还不错，给妈妈买的???
瑞***x,2017-07-08 16:22:45,【超柔版】男藏青,XXXL,不错
王***0,2017-07-08 16:20:43,[黄金甲]男藏青,XXL,不知道，帮别人代买的。
王***0,2017-07-08 16:20:28,[黄金甲]女紫罗兰,L,不知道，帮别人卖的。
w***1,2017-07-08 12:01:17,【超柔版】男深灰,L,宝贝收到了，质量很好，很保暖。
b***7,2017-07-07 17:42:30,【超柔版】男深灰,XL,是有褲子的！
q***6,2017-07-07 17:17:29,[黄金甲]男藏青,XXL,物有所值，质量太好了&hellip;&hellip;难得夏天旅行需要&hellip;&hellip;冬天还会购买的，谢谢老板^_^
t***8,2017-07-07 16:01:49,【尊享版】女黑色,L,很柔軟很舒服很貼心很有感覺
t***0,2017-07-07 13:30:36,【尊享版】男深灰,XXL,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
w***8,2017-07-07 12:38:05,【超柔版】女黑色,M,比外面买的便宜，
w***8,2017-07-07 12:38:05,【超柔版】男藏青,XL,还行，一直买这个牌子
w***8,2017-07-07 12:38:05,[黄金甲]女中国红,M,好好好，点一万个赞给谁
w***8,2017-07-07 12:38:05,[黄金甲]男深灰,XL,好好好，
五***1,2017-07-06 19:54:02,[黄金甲]男藏青,XXXL,给爸爸买的，现在还没到穿的季节，等到冬天吧，
江***1,2017-07-06 19:48:57,【尊享版】男藏青,L,个人觉得不错，物流快，服务好。
d***d,2017-07-06 11:46:36,【尊享版】男藏青,XXL,衣服薄，没有店铺买的厚，不像是正品
d***d,2017-07-06 11:46:36,[黄金甲]男藏青,XXL,衣服薄，没有店铺买的厚，不像是正品
云***票,2017-07-06 09:20:08,【超柔版】女红色,XXXL,衣服摸着很舒服，老妈很喜欢，也不是很贵，好评！
m***i,2017-07-06 09:06:02,【尊享版】女紫色,M,人在国外确认晚了很抱歉！第二次帮同事买！她们都很喜欢！
佳***诗,2017-07-05 19:54:30,【超柔版】女黑色,XL,收到后很惊喜，摸起来很柔软，手感很棒，已经下水洗了，去雪山旅游就靠它啦。
紫***尘,2017-07-05 19:44:54,【超柔版】男浅灰,XXL,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
紫***尘,2017-07-05 19:44:32,【超柔版】男酒红,XXL,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
头***呱,2017-07-05 16:58:29,【超柔版】男深灰,L,物品已收，不错。
刘***j,2017-07-05 16:55:06,【尊享版】男藏青,XL,宝贝收到了，衣服很厚实，卖家服务态度很好，下一次还会购买
郭***0,2017-07-05 14:11:16,[黄金甲]男深灰,XL,衣服很不错，摸着挺柔软的
我***钰,2017-07-05 11:58:08,【尊享版】男浅灰,XL,我可能买到假的南极人，便宜没好货！！码数偏小，袖子特别紧。线头多！很多地方都开裂了，面料一般。
h***m,2017-07-05 11:32:10,[黄金甲]男深灰,L,面料柔软舒适，物有所值！
